_;wappen_URL;Club;League;League_URL;League1;Value_Nov_1_2010_URL;Value_Nov_1_2010;Current_value_URL;Current_value;_1
,6;https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2023;Tottenham Hotspur;Premier League;;;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2012;€273.00m;https://www.transfermarkt.com/tottenham-hotspur/kader/verein/148/saison_id/2023;€773.30m;183.3 %
,7;https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2023;Newcastle United;Premier League;;;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2012;€154.95m;https://www.transfermarkt.com/newcastle-united/kader/verein/762/saison_id/2023;€615.10m;297.0 %
,8;https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2023;Aston Villa;Premier League;;;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2012;€112.40m;https://www.transfermarkt.com/aston-villa/kader/verein/405/saison_id/2023;€591.50m;426.2 %
,9;https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023;Brighton & Hove Albion;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2012;€25.30m;https://www.transfermarkt.com/brighton-amp-hove-albion/kader/verein/1237/saison_id/2023;€455.65m;1701.0 %
,10;https://www.transfermarkt.com/fc-brentford/startseite/verein/1148/saison_id/2023;Brentford FC;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/fc-brentford/kader/verein/1148/saison_id/2012;€4.58m;https://www.transfermarkt.com/brentford-fc/kader/verein/1148/saison_id/2023;€393.80m;8507.7 %
,11;https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2023;Wolverhampton Wanderers;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2012;€65.55m;https://www.transfermarkt.com/wolverhampton-wanderers/kader/verein/543/saison_id/2023;€367.18m;460.1 %
,12;https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2023;Everton FC;Premier League;;;https://www.transfermarkt.com/fc-everton/kader/verein/29/saison_id/2012;€125.45m;https://www.transfermarkt.com/everton-fc/kader/verein/29/saison_id/2023;€365.15m;191.1 %
,13;https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2023;West Ham United;Premier League;;;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2012;€88.45m;https://www.transfermarkt.com/west-ham-united/kader/verein/379/saison_id/2023;€362.90m;310.3 %
,14;https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2023;Nottingham Forest;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2012;€25.80m;https://www.transfermarkt.com/nottingham-forest/kader/verein/703/saison_id/2023;€335.48m;1200.3 %
,15;https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2023;Crystal Palace;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2012;€20.05m;https://www.transfermarkt.com/crystal-palace/kader/verein/873/saison_id/2023;€299.45m;1393.5 %
,16;https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2023;AFC Bournemouth;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2012;€6.90m;https://www.transfermarkt.com/afc-bournemouth/kader/verein/989/saison_id/2023;€271.00m;3827.5 %
,17;https://www.transfermarkt.com/fc-fulham/startseite/verein/931/saison_id/2023;Fulham FC;Premier League;;;https://www.transfermarkt.com/fc-fulham/kader/verein/931/saison_id/2012;€87.25m;https://www.transfermarkt.com/fulham-fc/kader/verein/931/saison_id/2023;€249.00m;185.4 %
,18;https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2023;Burnley FC;Championship;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB2;Championship;https://www.transfermarkt.com/fc-burnley/kader/verein/1132/saison_id/2012;€19.30m;https://www.transfermarkt.com/burnley-fc/kader/verein/1132/saison_id/2023;€190.85m;888.9 %
,19;https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2023;Sheffield United;League One;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/GB3;League One;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2012;€9.70m;https://www.transfermarkt.com/sheffield-united/kader/verein/350/saison_id/2023;€104.50m;977.3 %
,20;https://www.transfermarkt.com/luton-town/startseite/verein/1031/saison_id/2023;Luton Town;National League;https://www.transfermarkt.com/premier-league/marktwerteverein/wettbewerb/GB1/plus/CNAT;National League;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2012;€1.38m;https://www.transfermarkt.com/luton-town/kader/verein/1031/saison_id/2023;€50.50m;3572.7 %
,1;https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2023;Arsenal FC;Premier League;;;https://www.transfermarkt.com/fc-arsenal/kader/verein/11/saison_id/2013;€295.50m;https://www.transfermarkt.com/arsenal-fc/kader/verein/11/saison_id/2023;€1.21bn;308.0 %
,2;https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2023;Manchester City;Premier League;;;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2013;€472.75m;https://www.transfermarkt.com/manchester-city/kader/verein/281/saison_id/2023;€1.18bn;150.0 %
,3;https://www.transfermarkt.com/fc-chelsea/startseite/verein/631/saison_id/2023;Chelsea FC;Premier League;;;https://www.transfermarkt.com/fc-chelsea/kader/verein/631/saison_id/2013;€514.75m;https://www.transfermarkt.com/chelsea-fc/kader/verein/631/saison_id/2023;€879.50m;70.9 %
,4;https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2023;Liverpool FC;Premier League;;;https://www.transfermarkt.com/fc-liverpool/kader/verein/31/saison_id/2013;€254.00m;https://www.transfermarkt.com/liverpool-fc/kader/verein/31/saison_id/2023;€846.80m;233.4 %
,5;https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2023;Manchester United;Premier League;;;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2013;€389.25m;https://www.transfermarkt.com/manchester-united/kader/verein/985/saison_id/2023;€845.30m;117.2 %
