_,Club_URL,Club,Expenditure,Arrivals_URL,Arrivals,Income,Departures,Balance
"
  ,18
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/saison_id/2013,West Bromwich Albion,€15.70m,https://www.transfermarkt.com/west-bromwich-albion/transfers/verein/984/w_s//pos//saison_id/2013,16,€11.40m,16,€-4.30m
"
  ,19
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/stoke-city/transfers/verein/512/saison_id/2013,Stoke City,€7.00m,https://www.transfermarkt.com/stoke-city/transfers/verein/512/w_s//pos//saison_id/2013,20,-,20,€-7.00m
"
  ,20
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/newcastle-united/transfers/verein/762/saison_id/2013,Newcastle United,€3.80m,https://www.transfermarkt.com/newcastle-united/transfers/verein/762/w_s//pos//saison_id/2013,14,€25.87m,17,€22.07m
"
  ,1
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-united/transfers/verein/985/saison_id/2014,Manchester United,€195.35m,https://www.transfermarkt.com/manchester-united/transfers/verein/985/w_s//pos//saison_id/2014,25,€46.70m,26,€-148.65m
"
  ,2
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/saison_id/2014,Liverpool FC,€151.43m,https://www.transfermarkt.com/fc-liverpool/transfers/verein/31/w_s//pos//saison_id/2014,25,€99.27m,21,€-52.16m
"
  ,3
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/saison_id/2014,Chelsea FC,€137.70m,https://www.transfermarkt.com/fc-chelsea/transfers/verein/631/w_s//pos//saison_id/2014,42,€142.81m,48,€5.11m
"
  ,4
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/saison_id/2014,Arsenal FC,€118.98m,https://www.transfermarkt.com/fc-arsenal/transfers/verein/11/w_s//pos//saison_id/2014,18,€27.80m,22,€-91.18m
"
  ,5
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/manchester-city/transfers/verein/281/saison_id/2014,Manchester City,€102.80m,https://www.transfermarkt.com/manchester-city/transfers/verein/281/w_s//pos//saison_id/2014,14,€30.30m,16,€-72.50m
"
  ,6
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/fc-southampton/transfers/verein/180/saison_id/2014,Southampton FC,€96.00m,https://www.transfermarkt.com/fc-southampton/transfers/verein/180/w_s//pos//saison_id/2014,25,€123.83m,21,€27.83m
"
  ,7
  
  
  
  
  
  
  
  
",https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/saison_id/2014,Tottenham Hotspur,€48.48m,https://www.transfermarkt.com/tottenham-hotspur/transfers/verein/148/w_s//pos//saison_id/2014,20,€44.15m,24,€-4.33m
